Video Index,Detections,Processing Time (seconds),Density of Detections,"Top 100 Detections (Avg Confidence, Length)","Top 100 Confidences (Avg Confidence, Length)",Label
0136-OP-01.mp4,69,477.8763341903687,0.1443888200006843,"[(0.51, 4), (0.59, 3), (0.5633333333333334, 3), (0.3133333333333333, 3), (0.785, 2), (0.495, 2), (0.575, 2), (0.51, 2), (0.5650000000000001, 2), (0.735, 2), (0.34, 1), (0.51, 1), (0.65, 1), (0.52, 1), (0.47, 1), (0.67, 1), (0.35, 1), (0.49, 1), (0.52, 1), (0.38, 1), (0.51, 1), (0.8, 1), (0.6, 1), (0.38, 1), (0.4, 1), (0.5, 1), (0.3, 1), (0.38, 1), (0.69, 1), (0.64, 1), (0.6, 1), (0.72, 1), (0.37, 1), (0.4, 1), (0.35, 1), (0.39, 1), (0.31, 1), (0.66, 1), (0.62, 1), (0.52, 1), (0.34, 1), (0.45, 1), (0.39, 1), (0.31, 1), (0.67, 1), (0.68, 1), (0.63, 1), (0.6, 1), (0.52, 1), (0.41, 1), (0.53, 1), (0.31, 1), (0.67, 1), (0.31, 1)]","[(0.8, 1), (0.785, 2), (0.735, 2), (0.72, 1), (0.69, 1), (0.68, 1), (0.67, 1), (0.67, 1), (0.67, 1), (0.66, 1), (0.65, 1), (0.64, 1), (0.63, 1), (0.62, 1), (0.6, 1), (0.6, 1), (0.6, 1), (0.59, 3), (0.575, 2), (0.5650000000000001, 2), (0.5633333333333334, 3), (0.53, 1), (0.52, 1), (0.52, 1), (0.52, 1), (0.52, 1), (0.51, 1), (0.51, 1), (0.51, 4), (0.51, 2), (0.5, 1), (0.495, 2), (0.49, 1), (0.47, 1), (0.45, 1), (0.41, 1), (0.4, 1), (0.4, 1), (0.39, 1), (0.39, 1), (0.38, 1), (0.38, 1), (0.38, 1), (0.37, 1), (0.35, 1), (0.35, 1), (0.34, 1), (0.34, 1), (0.3133333333333333, 3), (0.31, 1), (0.31, 1), (0.31, 1), (0.31, 1), (0.3, 1)]",NSR
0136-OP.mp4,176,544.610253572464,0.3231668864945122,"[(0.49549999999999994, 13), (0.6549999999999999, 8), (0.47375, 8), (0.6239999999999999, 5), (0.484, 5), (0.8225, 4), (0.585, 4), (0.5466666666666667, 3), (0.4633333333333333, 3), (0.4133333333333334, 3), (0.575, 2), (0.43500000000000005, 2), (0.6799999999999999, 2), (0.54, 2), (0.54, 2), (0.5, 2), (0.49, 2), (0.5900000000000001, 2), (0.48, 2), (0.47, 2), (0.515, 2), (0.32999999999999996, 2), (0.42, 2), (0.725, 2), (0.36, 2), (0.305, 2), (0.45999999999999996, 2), (0.595, 2), (0.43, 2), (0.55, 2), (0.46, 2), (0.73, 1), (0.44, 1), (0.45, 1), (0.82, 1), (0.32, 1), (0.6, 1), (0.46, 1), (0.45, 1), (0.38, 1), (0.53, 1), (0.69, 1), (0.73, 1), (0.75, 1), (0.3, 1), (0.6, 1), (0.76, 1), (0.52, 1), (0.31, 1), (0.32, 1), (0.55, 1), (0.34, 1), (0.31, 1), (0.38, 1), (0.63, 1), (0.36, 1), (0.47, 1), (0.4, 1), (0.67, 1), (0.42, 1), (0.36, 1), (0.59, 1), (0.65, 1), (0.39, 1), (0.41, 1), (0.36, 1), (0.3, 1), (0.38, 1), (0.6, 1), (0.3, 1), (0.31, 1), (0.35, 1), (0.42, 1), (0.55, 1), (0.37, 1), (0.34, 1), (0.48, 1), (0.77, 1), (0.31, 1), (0.87, 1), (0.7, 1), (0.34, 1), (0.69, 1), (0.35, 1), (0.32, 1), (0.34, 1), (0.55, 1), (0.405, 1), (0.47, 1), (0.46, 1), (0.57, 1), (0.44, 1), (0.88, 1), (0.44, 1), (0.33, 1), (0.57, 1), (0.38, 1), (0.36, 1), (0.63, 1), (0.3, 1)]","[(0.88, 1), (0.87, 1), (0.8225, 4), (0.82, 1), (0.77, 1), (0.76, 1), (0.75, 1), (0.73, 1), (0.73, 1), (0.725, 2), (0.7, 1), (0.69, 1), (0.69, 1), (0.6799999999999999, 2), (0.67, 1), (0.6549999999999999, 8), (0.65, 1), (0.63, 1), (0.63, 1), (0.6239999999999999, 5), (0.6, 1), (0.6, 1), (0.6, 1), (0.595, 2), (0.5900000000000001, 2), (0.59, 1), (0.585, 4), (0.575, 2), (0.57, 1), (0.57, 1), (0.55, 1), (0.55, 1), (0.55, 1), (0.55, 2), (0.5466666666666667, 3), (0.54, 2), (0.54, 2), (0.53, 1), (0.52, 1), (0.515, 2), (0.5, 2), (0.49549999999999994, 13), (0.49, 2), (0.484, 5), (0.48, 2), (0.48, 1), (0.47375, 8), (0.47, 1), (0.47, 2), (0.47, 1), (0.4633333333333333, 3), (0.46, 1), (0.46, 1), (0.46, 2), (0.45999999999999996, 2), (0.45, 1), (0.45, 1), (0.44, 1), (0.44, 1), (0.44, 1), (0.43500000000000005, 2), (0.43, 2), (0.42, 1), (0.42, 2), (0.42, 1), (0.4133333333333334, 3), (0.41, 1), (0.405, 1), (0.4, 1), (0.39, 1), (0.38, 1), (0.38, 1), (0.38, 1), (0.38, 1), (0.37, 1), (0.36, 1), (0.36, 1), (0.36, 1), (0.36, 2), (0.36, 1), (0.35, 1), (0.35, 1), (0.35, 1), (0.34, 1), (0.34, 1), (0.34, 1), (0.34, 1), (0.33, 1), (0.32999999999999996, 2), (0.32, 1), (0.32, 1), (0.32, 1), (0.31, 1), (0.31, 1), (0.31, 1), (0.31, 1), (0.305, 2), (0.3, 1), (0.3, 1), (0.3, 1)]",NSR
0136-OP-04.mp4,0,2.343350648880005,0.0,[],[],NSR
0136-OP-03.mp4,115,338.98310828208923,0.3392499425201483,"[(0.5890909090909091, 11), (0.38, 4), (0.4166666666666667, 3), (0.36999999999999994, 3), (0.5833333333333334, 3), (0.4633333333333334, 3), (0.395, 2), (0.385, 2), (0.355, 2), (0.62, 2), (0.385, 2), (0.33999999999999997, 2), (0.445, 2), (0.405, 2), (0.42500000000000004, 2), (0.525, 2), (0.35, 1), (0.46, 1), (0.35, 1), (0.5, 1), (0.38, 1), (0.33, 1), (0.61, 1), (0.31, 1), (0.66, 1), (0.56, 1), (0.38, 1), (0.39, 1), (0.35, 1), (0.52, 1), (0.44, 1), (0.38, 1), (0.79, 1), (0.36, 1), (0.33, 1), (0.43, 1), (0.39, 1), (0.33, 1), (0.41, 1), (0.5, 1), (0.71, 1), (0.37, 1), (0.32, 1), (0.33, 1), (0.57, 1), (0.61, 1), (0.34, 1), (0.64, 1), (0.37, 1), (0.43, 1), (0.61, 1), (0.45, 1), (0.56, 1), (0.345, 1), (0.32, 1), (0.74, 1), (0.36, 1), (0.4, 1), (0.48, 1), (0.62, 1), (0.45, 1), (0.35, 1), (0.38, 1), (0.32, 1), (0.35, 1), (0.61, 1), (0.38, 1), (0.31, 1), (0.3, 1), (0.33, 1), (0.44, 1), (0.46, 1), (0.315, 1), (0.77, 1), (0.4, 1), (0.81, 1), (0.45, 1), (0.51, 1), (0.68, 1), (0.32, 1), (0.77, 1)]","[(0.81, 1), (0.79, 1), (0.77, 1), (0.77, 1), (0.74, 1), (0.71, 1), (0.68, 1), (0.66, 1), (0.64, 1), (0.62, 2), (0.62, 1), (0.61, 1), (0.61, 1), (0.61, 1), (0.61, 1), (0.5890909090909091, 11), (0.5833333333333334, 3), (0.57, 1), (0.56, 1), (0.56, 1), (0.525, 2), (0.52, 1), (0.51, 1), (0.5, 1), (0.5, 1), (0.48, 1), (0.4633333333333334, 3), (0.46, 1), (0.46, 1), (0.45, 1), (0.45, 1), (0.45, 1), (0.445, 2), (0.44, 1), (0.44, 1), (0.43, 1), (0.43, 1), (0.42500000000000004, 2), (0.4166666666666667, 3), (0.41, 1), (0.405, 2), (0.4, 1), (0.4, 1), (0.395, 2), (0.39, 1), (0.39, 1), (0.385, 2), (0.385, 2), (0.38, 1), (0.38, 1), (0.38, 1), (0.38, 1), (0.38, 1), (0.38, 4), (0.37, 1), (0.37, 1), (0.36999999999999994, 3), (0.36, 1), (0.36, 1), (0.355, 2), (0.35, 1), (0.35, 1), (0.35, 1), (0.35, 1), (0.35, 1), (0.345, 1), (0.34, 1), (0.33999999999999997, 2), (0.33, 1), (0.33, 1), (0.33, 1), (0.33, 1), (0.33, 1), (0.32, 1), (0.32, 1), (0.32, 1), (0.32, 1), (0.315, 1), (0.31, 1), (0.31, 1), (0.3, 1)]",NSR
0136-OP-02.mp4,73,512.8560545444489,0.1423401349231281,"[(0.45333333333333337, 3), (0.4766666666666666, 3), (0.41, 2), (0.555, 2), (0.6, 2), (0.6, 2), (0.6599999999999999, 2), (0.55, 2), (0.39, 1), (0.85, 1), (0.55, 1), (0.69, 1), (0.43, 1), (0.32, 1), (0.38, 1), (0.45, 1), (0.78, 1), (0.31, 1), (0.53, 1), (0.31, 1), (0.51, 1), (0.37, 1), (0.55, 1), (0.42, 1), (0.41, 1), (0.32, 1), (0.54, 1), (0.42, 1), (0.54, 1), (0.64, 1), (0.39, 1), (0.65, 1), (0.42, 1), (0.51, 1), (0.32, 1), (0.43, 1), (0.54, 1), (0.6, 1), (0.89, 1), (0.32, 1), (0.66, 1), (0.81, 1), (0.61, 1), (0.31, 1), (0.36, 1), (0.44, 1), (0.36, 1), (0.69, 1), (0.75, 1), (0.36, 1), (0.33, 1), (0.5, 1), (0.47, 1), (0.39, 1), (0.57, 1), (0.3, 1), (0.41, 1), (0.45, 1), (0.82, 1), (0.32, 1), (0.42, 1), (0.31, 1), (0.36, 1)]","[(0.89, 1), (0.85, 1), (0.82, 1), (0.81, 1), (0.78, 1), (0.75, 1), (0.69, 1), (0.69, 1), (0.66, 1), (0.6599999999999999, 2), (0.65, 1), (0.64, 1), (0.61, 1), (0.6, 2), (0.6, 2), (0.6, 1), (0.57, 1), (0.555, 2), (0.55, 1), (0.55, 1), (0.55, 2), (0.54, 1), (0.54, 1), (0.54, 1), (0.53, 1), (0.51, 1), (0.51, 1), (0.5, 1), (0.4766666666666666, 3), (0.47, 1), (0.45333333333333337, 3), (0.45, 1), (0.45, 1), (0.44, 1), (0.43, 1), (0.43, 1), (0.42, 1), (0.42, 1), (0.42, 1), (0.42, 1), (0.41, 1), (0.41, 2), (0.41, 1), (0.39, 1), (0.39, 1), (0.39, 1), (0.38, 1), (0.37, 1), (0.36, 1), (0.36, 1), (0.36, 1), (0.36, 1), (0.33, 1), (0.32, 1), (0.32, 1), (0.32, 1), (0.32, 1), (0.32, 1), (0.31, 1), (0.31, 1), (0.31, 1), (0.31, 1), (0.3, 1)]",NSR
0137.mp4,17,260.12434911727905,0.0653533591057076,"[(0.385, 2), (0.49, 1), (0.41, 1), (0.33, 1), (0.33, 1), (0.46, 1), (0.33, 1), (0.36, 1), (0.48, 1), (0.48, 1), (0.31, 1), (0.63, 1), (0.33, 1), (0.51, 1), (0.36, 1), (0.44, 1)]","[(0.63, 1), (0.51, 1), (0.49, 1), (0.48, 1), (0.48, 1), (0.46, 1), (0.44, 1), (0.41, 1), (0.385, 2), (0.36, 1), (0.36, 1), (0.33, 1), (0.33, 1), (0.33, 1), (0.33, 1), (0.31, 1)]",NSR
0139-OP.mp4,9,146.97030210494995,0.0612368612644831,"[(0.49000000000000005, 2), (0.33, 1), (0.44, 1), (0.48, 1), (0.77, 1), (0.34, 1), (0.51, 1)]","[(0.77, 1), (0.51, 1), (0.49000000000000005, 2), (0.48, 1), (0.44, 1), (0.34, 1), (0.33, 1)]",NSR
0138-OP.mp4,54,342.86307096481323,0.1574972768226235,"[(0.5800000000000001, 8), (0.54, 5), (0.5525, 4), (0.5475, 3), (0.37, 2), (0.31, 1), (0.32, 1), (0.38, 1), (0.33, 1), (0.32, 1), (0.66, 1), (0.75, 1), (0.71, 1), (0.53, 1), (0.51, 1), (0.39, 1), (0.3, 1), (0.49, 1), (0.34, 1), (0.3, 1), (0.51, 1), (0.41, 1), (0.56, 1), (0.44, 1), (0.54, 1), (0.34, 1), (0.36, 1), (0.34, 1), (0.53, 1), (0.59, 1), (0.42, 1), (0.3, 1), (0.5, 1), (0.41, 1), (0.3, 1), (0.49, 1)]","[(0.75, 1), (0.71, 1), (0.66, 1), (0.59, 1), (0.5800000000000001, 8), (0.56, 1), (0.5525, 4), (0.5475, 3), (0.54, 1), (0.54, 5), (0.53, 1), (0.53, 1), (0.51, 1), (0.51, 1), (0.5, 1), (0.49, 1), (0.49, 1), (0.44, 1), (0.42, 1), (0.41, 1), (0.41, 1), (0.39, 1), (0.38, 1), (0.37, 2), (0.36, 1), (0.34, 1), (0.34, 1), (0.34, 1), (0.33, 1), (0.32, 1), (0.32, 1), (0.31, 1), (0.3, 1), (0.3, 1), (0.3, 1), (0.3, 1)]",NSR
0141-OP-01.mp4,0,167.52072858810425,0.0,[],[],NSR
0141-OP.mp4,4,458.8926982879639,0.0087166346619224,"[(0.61, 1), (0.41, 1), (0.32, 1), (0.36, 1)]","[(0.61, 1), (0.41, 1), (0.36, 1), (0.32, 1)]",NSR
